,USDA_Food_Name,Calories_kcal,Total_Fat_g,Sodium_mg,Total_Carbohydrate_g,Dietary_Fiber_g,Protein_g,Potassium_mg,Calcium_mg,Iron_mg,Land_Use_Score,Nitrogen_Score,Water_Use_Score,GHG_Emissions_Score,Cluster
26,Apricot,0.2266326031188656,0.1001444214943065,0.1385001216791102,0.0938464628284754,0.1124074890046288,0.121882255472856,0.0090292991543989,0.0350377791490946,0.0377596594232101,0.9397880531178222,0.8065704741912677,0.10991371366522405,0.8640591610029966,0
27,Avocado,0.2705457902087936,1.166331848285637,0.1385001216791102,0.0177864241184315,0.8700344524434478,0.0884346541863528,2.149341741569583,0.0191213397450298,0.0021458446709577,0.964368859345913,0.9155556040906916,0.843805259463759,0.8824195760149405,1
28,Grapefruit,0.2556201399921179,0.0685893139667679,0.1294144362676179,0.0612068634631599,0.8110639750656581,0.1399972742947052,0.2522675620892283,0.0127655702134799,0.0595609241872806,0.9909499979921591,0.9561672885761143,0.9262897004447537,0.9072847059997408,1
29,Green Grapes,0.1413085156184015,0.1181967716986941,0.1094098974565564,0.4813101374179827,0.0713467993412751,0.1245345821074158,0.0236686390532544,0.0465919140961583,0.0306484935607113,0.9907759415260712,0.9849516465385629,0.9582677470896869,0.9306975650392092,1
30,Red Grapes,0.1248775510628745,0.1252042199940003,0.07309536195327,0.5406967870994942,0.046499599873261,0.1238902721657585,0.0108310640650273,0.0444335118257125,0.0379677726084168,0.9907759415260712,0.9849516465385629,0.9582677470896869,0.9572876374741559,1
31,Oranges,0.2302380667207008,0.1266408544124615,0.0535947245099004,0.1801533663828415,0.015330698111727,0.1240619247564226,0.1514301508978112,0.1171878776848505,0.0110278636734544,0.991974389019797,0.9454981296570272,0.936098219317768,0.9237460300036007,1
32,Peaches,0.2430096324001883,0.1142593507999563,0.0134141557813683,0.0881967302863564,0.1153197859527132,0.1240619247564226,0.3460207612456747,0.0994429104021339,0.0099333199422947,0.9905791022067763,0.9691121850004688,0.8985799670205099,0.9761257859254708,1
33,Pear,0.1863587039809257,0.1037181061889799,0.1348939020322435,0.3242872679666285,0.0232163153786696,0.1510608303894602,0.3460207612456747,0.0459390187374341,0.0792333682990498,0.9956515806045135,0.9866932085740403,0.9511741681096735,0.9530614013099509,1
34,Plum,0.1996993500725193,0.1130127269111062,0.1385001216791102,0.2643615070354411,0.1634737023352749,0.1387233375704311,0.089187363076104,0.0991240981774439,0.0792333682990498,0.995791230604297,0.9811479216319926,0.9095223828630609,0.971752868511746,1
35,Greek Yoghurt,0.1331267800355513,0.1266408544124615,0.1687881919129543,0.2006144382541815,0.5299469075345397,0.0069698586755226,0.2899408284023668,1.5698864492718585,0.0544549674979316,0.9965238787623102,0.9761932289418598,0.9492147347057917,0.9667049266793822,1
36,Barley,0.5747571646117852,0.1245878871547673,0.0604632877298591,1.6595237950249917,20.582781490937684,0.0153029413479466,0.2707766016256834,0.0473227564986677,2.1999464881330604,0.9463705169612969,0.6418023010920125,0.9600828439521076,0.9574213043110871,1
37,Sorghum Bran,0.638270570334111,0.6550710635032058,0.1117350689391203,1.5514783623945718,199.2906517053136,0.0755328586744085,7.370856452570587,0.4325335775162163,53.466786869297344,0.9978885320772491,0.9917828524301764,0.9930509391373051,0.9989323551648819,1
38,Bulgur,0.5838234098495384,0.1215005120565159,0.1185860594994997,1.6417085970148948,16.500900153940243,0.0969671515377025,0.2300526197252308,0.0369573068599654,1.25347123239154,0.9574584742388114,0.8291910484965564,0.8566485282097294,0.9674357668215896,1
39,Corn Flour,0.5692776988471596,0.0488345012196953,0.1385001216791102,1.6987671456727562,0.7546865739910084,0.0008916101379897,0.2388157490632869,0.1465353235754971,4.380009933762585,0.9737478246736888,0.5164473361447953,0.9605564732374887,0.9190518656794748,1
40,Spinach,0.2581232702102365,0.0115715246276743,0.0175056471075199,0.186335766291159,0.7407058039146274,0.0522210227633527,0.2388157490632869,4.60837084706625,0.0281278640600525,0.8468973221045506,0.23349619656414347,1.0263915499488507e-11,0.9953305099531644,0
41,Oat Milk,0.226890567779138,0.154948446124056,0.2528967837367712,0.1965555793080183,0.9739698196376986,0.1289602065594432,0.2214532871972318,4.464704861950411,0.0201390246494893,0.9357051906074791,0.31138120584520057,0.8995709996049558,0.966188750132878,1
42,Brown Rice,0.5711075255242357,0.2589923058971354,0.1294144362676179,1.6369037829663546,0.3742572681412723,0.0009283737380151,0.0034602076124567,0.0458667591831627,0.2710814348654833,0.994177365336524,0.8656612069497956,0.9419893734110418,0.9182371245008514,1
43,Long Grain Brown Rice,0.5729340100502701,0.2092674614281435,0.1385001216791102,1.6512495161395218,0.1000802145358507,0.0011645520169662,8.189840502856209e-05,0.0609498676236815,0.1456318250141289,0.9825882143636879,0.591798772330858,0.8230403757811618,0.742350175724655,1
44,Glutinous Rice,0.5582278626605746,0.0173074586746139,0.0827049069954346,1.690812558274294,0.415225024362974,0.0,0.605720603591245,0.0458667591831627,0.0099333199422947,0.980091612431469,0.5357386328352146,0.7971304213173543,0.7174442673138061,1
45,White Rice,0.560078001948736,0.0011631965950357,0.0922229869226763,1.6873839834871165,0.594639346715699,0.0002320934345037,0.6414487827849553,0.079309197523667,0.0268426166570727,0.9962785725269,0.9150132120779406,0.9631064579544552,0.9509587370401752,1
46,Long Grain White Rice,0.560078001948736,0.032068712281557,0.1343127917320545,1.6930917615401568,0.851189821974708,0.0004549031316274,0.5896294097172456,0.0946107055615116,0.04269096227403,0.980091612431469,0.5357386328352146,0.7971304213173543,0.7174442673138061,1
